locus_tag	old_locus_tag	pf_name	description
PFDSM3638_RS00165	PFDSM3638_00165	PF0048	7-cyano-7-deazaguanine synthase
PFDSM3638_RS00170	PFDSM3638_00170	PF0049	DNA cytosine methyltransferase
PFDSM3638_RS00175	PFDSM3638_00175	PF0050	DNA-directed RNA polymerase subunit L
PFDSM3638_RS00180	PFDSM3638_00180	PF0051	DUF2067 domain-containing protein
PFDSM3638_RS00185	PFDSM3638_00185	PF0052	RNA-binding protein
PFDSM3638_RS00190	PFDSM3638_00190	PF0053	RNA helicase
PFDSM3638_RS00195	PFDSM3638_00195	PF0054	transcriptional regulator
PFDSM3638_RS00200	PFDSM3638_00200	PF0055	transcriptional regulator
PFDSM3638_RS00205	PFDSM3638_00205	PF0056	cupin domain-containing protein
PFDSM3638_RS00210	PFDSM3638_00210	PF0057	DUF4910 domain-containing protein
PFDSM3638_RS00215	PFDSM3638_00215	PF0058	dolichol monophosphate mannose synthase
PFDSM3638_RS00220	PFDSM3638_00220	PF0059	fibrillin
PFDSM3638_RS00225	PFDSM3638_00225	PF0060	C/D box methylation guide ribonucleoprotein complex aNOP56 subunit
PFDSM3638_RS00230	PFDSM3638_00230	PF0061	riboflavin synthase
PFDSM3638_RS00235	PFDSM3638_00235	PF0062	riboflavin biosynthesis protein RibD
PFDSM3638_RS00240	PFDSM3638_00240	PF0063	6,7-dimethyl-8-ribityllumazine synthase
PFDSM3638_RS00245	PFDSM3638_00245	PF0064	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II
PFDSM3638_RS00250	PFDSM3638_00250	PF0065	hypothetical protein
PFDSM3638_RS00255	PFDSM3638_00255	PF0067	energy-coupling factor transporter transmembrane protein EcfT
PFDSM3638_RS00260	PFDSM3638_00260	PF0068	ABC transporter ATP-binding protein
PFDSM3638_RS00265	PFDSM3638_00265	PF0069	IS6 family transposase ISPfu2
PFDSM3638_RS00270	PFDSM3638_00270	PF0070	phosphoserine phosphatase
PFDSM3638_RS00275	PFDSM3638_00275	PF0071	RNA-binding protein
PFDSM3638_RS00280	PFDSM3638_00280	PF0072	hypothetical protein
PFDSM3638_RS00295	PFDSM3638_00295	PF0073	glycoside hydrolase family 1 protein
PFDSM3638_RS00300	PFDSM3638_00300	PF0074	NAD(P)-dependent oxidoreductase
PFDSM3638_RS00305	PFDSM3638_00305	PF0075	alcohol dehydrogenase
PFDSM3638_RS00310	PFDSM3638_00310	PF0076	hydrolase
PFDSM3638_RS00315	PFDSM3638_00315	PF0077	biotin--[acetyl-CoA-carboxylase] ligase
PFDSM3638_RS00320	PFDSM3638_00320	PF0078	2-phosphoglycerate kinase
PFDSM3638_RS00325	PFDSM3638_00325	PF0079	2,3-diphosphoglycerate synthetase
PFDSM3638_RS00330	PFDSM3638_00330	PF0080	tungstate ABC transporter substrate-binding protein WtpA
PFDSM3638_RS00335	PFDSM3638_00335	PF0081	molybdenum ABC transporter permease
PFDSM3638_RS00340	PFDSM3638_00340	PF0082	molybdenum ABC transporter ATP-binding protein
PFDSM3638_RS00345	PFDSM3638_00345	NA	NA
PFDSM3638_RS00350	PFDSM3638_00350	PF0085	DNA helicase
PFDSM3638_RS00355	PFDSM3638_00355	PF0086	alanyl-tRNA editing protein AlaX
PFDSM3638_RS00360	PFDSM3638_00360	PF0087	inosine-5-monophosphate dehydrogenase
PFDSM3638_RS00365	PFDSM3638_00365	PF0088	phosphohydrolase
PFDSM3638_RS00370	PFDSM3638_00370	PF0089	class I SAM-dependent methyltransferase family protein
PFDSM3638_RS00375	PFDSM3638_00375	PF0090	GTP 3',8-cyclase MoaA
PFDSM3638_RS00380	PFDSM3638_00380	PF0091	DUF835 domain-containing protein
PFDSM3638_RS00385	PFDSM3638_00385	PF0092	replication protein C
PFDSM3638_RS00390	PFDSM3638_00390	PF0093	replication factor C small subunit
PFDSM3638_RS00395	PFDSM3638_00395	PF0094	glutaredoxin
PFDSM3638_RS00400	PFDSM3638_00400	PF0095	transcriptional regulator
PFDSM3638_RS00405	PFDSM3638_00405	PF0096	ferredoxin
PFDSM3638_RS00410	PFDSM3638_00410	PF0097	digeranylgeranylglycerophospholipid reductase
PFDSM3638_RS00415	PFDSM3638_00415	PF0098	NAD(+) synthetase
PFDSM3638_RS00420	PFDSM3638_00420	PF0099	hypothetical protein
PFDSM3638_RS00425	PFDSM3638_00425	PF0100	molybdenum cofactor biosynthesis protein MoaE
PFDSM3638_RS00430	PFDSM3638_00430	PF0101	SPASM domain-containing protein
PFDSM3638_RS00435	PFDSM3638_00435	PF0102	ATPase
PFDSM3638_RS00445	PFDSM3638_00445	PF0105	DNA-binding protein
PFDSM3638_RS00450	PFDSM3638_00450	PF0106	hypothetical protein
PFDSM3638_RS00455	PFDSM3638_00455	PF0107	hypothetical protein
PFDSM3638_RS00460	PFDSM3638_00460	PF0108	fuculose phosphate aldolase
PFDSM3638_RS00470	PFDSM3638_00470	PF0109	EamA family transporter
PFDSM3638_RS00475	PFDSM3638_00475	PF0110	DNA primase catalytic subunit PriS
PFDSM3638_RS00480	PFDSM3638_00480	PF0111	DNA primase
PFDSM3638_RS00485	PFDSM3638_00485	PF0112	polyhydroxyalkanoate depolymerase
PFDSM3638_RS00490	PFDSM3638_00490	PF0113	Lrp/AsnC family transcriptional regulator
PFDSM3638_RS00495	PFDSM3638_00495	PF0114	GTP-binding protein
PFDSM3638_RS00500	PFDSM3638_00500	PF0115	proteasome-activating nucleotidase
PFDSM3638_RS00505	PFDSM3638_00505	PF0116	ABC transporter ATP-binding protein
PFDSM3638_RS00510	PFDSM3638_00510	PF0117	carbohydrate ABC transporter permease
PFDSM3638_RS00515	PFDSM3638_00515	PF0118	sugar ABC transporter permease
PFDSM3638_RS00520	PFDSM3638_00520	PF0119	ABC transporter substrate-binding protein
PFDSM3638_RS10545		NA	NA
PFDSM3638_RS00525	PFDSM3638_00525	PF0120	transposase
PFDSM3638_RS00530	PFDSM3638_00530	PF0121	PLP-dependent aminotransferase family protein
PFDSM3638_RS00535	PFDSM3638_00535	PF0122	ribose 1,5-bisphosphate isomerase
PFDSM3638_RS00540	PFDSM3638_00540	PF0123	hypothetical protein
PFDSM3638_RS00545	PFDSM3638_00545	PF0124	transcriptional regulator
PFDSM3638_RS00550	PFDSM3638_00550	PF0125	hypothetical protein
PFDSM3638_RS00555	PFDSM3638_00555	PF0126	ATP-dependent helicase
PFDSM3638_RS00560	PFDSM3638_00560	PF0127	spermidine synthase
PFDSM3638_RS00565	PFDSM3638_00565	PF0128	ATPase
PFDSM3638_RS00570	PFDSM3638_00570	PF0129	metal-dependent hydrolase
PFDSM3638_RS00575	PFDSM3638_00575	PF0130	MarC family protein
PFDSM3638_RS00580	PFDSM3638_00580	PF0131	hypothetical protein
PFDSM3638_RS00600	PFDSM3638_00600	PF0132	DUF2139 domain-containing protein
PFDSM3638_RS00605	PFDSM3638_00605	PF0133	DUF366 domain-containing protein
PFDSM3638_RS00610	PFDSM3638_00610	PF0134	hypothetical protein
PFDSM3638_RS00615	PFDSM3638_00615	PF0135	lysine--tRNA ligase
PFDSM3638_RS00620	PFDSM3638_00620	PF0136	hypothetical protein
PFDSM3638_RS00625	PFDSM3638_00625	PF0137	class I SAM-dependent methyltransferase
PFDSM3638_RS00630	PFDSM3638_00630	PF0138	rubrerythrin
PFDSM3638_RS00635	PFDSM3638_00635	PF0139	indolepyruvate oxidoreductase subunit B
PFDSM3638_RS00640	PFDSM3638_00640	PF0140	MFS transporter
PFDSM3638_RS00645	PFDSM3638_00645	PF0141	transcriptional regulator
PFDSM3638_RS00650	PFDSM3638_00650	PF0142	asparaginase
PFDSM3638_RS00655	PFDSM3638_00655	PF0143	MFS transporter
PFDSM3638_RS00660	PFDSM3638_00660	PF0144	radical SAM protein
PFDSM3638_RS00665	PFDSM3638_00665	PF0145	tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO
PFDSM3638_RS00670	PFDSM3638_00670	PF0146	potassium channel protein
PFDSM3638_RS00675	PFDSM3638_00675	PF0147	potassium channel protein
PFDSM3638_RS00680	PFDSM3638_00680	PF0148	DUF998 domain-containing protein
PFDSM3638_RS00685	PFDSM3638_00685	PF0149	short-chain dehydrogenase
PFDSM3638_RS00690	PFDSM3638_00690	PF0150	hypothetical protein
PFDSM3638_RS00695	PFDSM3638_00695	PF0151	hypothetical protein
PFDSM3638_RS00700	PFDSM3638_00700	PF0152	TIGR00266 family protein
PFDSM3638_RS00705	PFDSM3638_00705	PF0153	phosphoribosylaminoimidazolesuccinocarboxamide synthase
PFDSM3638_RS00710	PFDSM3638_00710	PF0154	amidophosphoribosyltransferase
PFDSM3638_RS00715	PFDSM3638_00715	PF0155	asparagine--tRNA ligase
PFDSM3638_RS00730	PFDSM3638_00730	PF0157	glutamine--fructose-6-phosphate aminotransferase
PFDSM3638_RS00735	PFDSM3638_00735	PF0158	hypothetical protein
PFDSM3638_RS00740	PFDSM3638_00740	PF0159	proteasome endopeptidase complex, archaeal, beta subunit
PFDSM3638_RS00745	PFDSM3638_00745	PF0160	TLDD - like protein
PFDSM3638_RS00750	PFDSM3638_00750	PF0161	pmba protein (tlde protein)
PFDSM3638_RS00755	PFDSM3638_00755	PF0162	hypothetical protein
PFDSM3638_RS00760	PFDSM3638_00760	PF0163	ECF transporter S component
PFDSM3638_RS00765	PFDSM3638_00765	PF0164	cysteine desulfurase
PFDSM3638_RS00770	PFDSM3638_00770	PF0165	HAD family hydrolase
PFDSM3638_RS00775	PFDSM3638_00775	PF0166	TIGR00725 family protein
PFDSM3638_RS00780	PFDSM3638_00780	PF0167	metalloprotease
PFDSM3638_RS00785	PFDSM3638_00785	PF0168	DUF3201 domain-containing protein
PFDSM3638_RS00790	PFDSM3638_00790	PF0169	Sun/NOL1/NOP nucleolar protein
PFDSM3638_RS00795	PFDSM3638_00795	PF0170	lysylphosphatidylglycerol synthetase family protein
PFDSM3638_RS00800	PFDSM3638_00800	PF0171	DUF835 domain-containing protein
PFDSM3638_RS10550		NA	NA
PFDSM3638_RS00805	PFDSM3638_00805	PF0172	UGMP family protein
PFDSM3638_RS00810	PFDSM3638_00810	PF0173	preprotein translocase subunit SecF
PFDSM3638_RS00815	PFDSM3638_00815	PF0174	preprotein translocase subunit SecD
PFDSM3638_RS00820	PFDSM3638_00820	PF0175	TrkA family potassium uptake protein
PFDSM3638_RS00825	PFDSM3638_00825	PF0176	ATP synthase archaeal subunit H
PFDSM3638_RS00830	PFDSM3638_00830	PF0177	V-type ATP synthase subunit I
PFDSM3638_RS00835	PFDSM3638_00835	PF0178	V-type ATP synthase subunit K
PFDSM3638_RS00840	PFDSM3638_00840	PF0179	V-type ATP synthase subunit E
PFDSM3638_RS00845	PFDSM3638_00845	PF0180	V-type ATP synthase subunit C
PFDSM3638_RS00850	PFDSM3638_00850	PF0181	V-type ATP synthase subunit F
PFDSM3638_RS00855	PFDSM3638_00855	PF0182	V-type ATP synthase subunit A
PFDSM3638_RS00860	PFDSM3638_00860	PF0183	ATP synthase subunit B
PFDSM3638_RS00865	PFDSM3638_00865	PF0184	V-type ATP synthase subunit D
PFDSM3638_RS00870	PFDSM3638_00870	PF0185	alanyl-tRNA editing protein AlaX
PFDSM3638_RS00875	PFDSM3638_00875	PF0186	hypothetical protein
PFDSM3638_RS00880	PFDSM3638_00880	PF0187	radical SAM protein
PFDSM3638_RS00885	PFDSM3638_00885	PF0188	dihydroorotate dehydrogenase electron transfer subunit
PFDSM3638_RS00890	PFDSM3638_00890	PF0189	dihydroorotase
PFDSM3638_RS00895	PFDSM3638_00895	PF0190	peptide ABC transporter substrate-binding protein
PFDSM3638_RS00900	PFDSM3638_00900	PF0191	ABC transporter permease
PFDSM3638_RS00905	PFDSM3638_00905	PF0192	ABC transporter permease
PFDSM3638_RS00910	PFDSM3638_00910	PF0193	ABC transporter ATP-binding protein
PFDSM3638_RS00915	PFDSM3638_00915	PF0194	ABC transporter ATP-binding protein
PFDSM3638_RS00920	PFDSM3638_00920	PF0195	hypothetical protein
PFDSM3638_RS00925	PFDSM3638_00925	PF0196	glucose-6-phosphate isomerase
PFDSM3638_RS00930	PFDSM3638_00930	PF0197	phosphoribosylformylglycinamidine synthase subunit PurS
PFDSM3638_RS00935	PFDSM3638_00935	PF0198	phosphoribosylformylglycinamidine synthase I
PFDSM3638_RS00940	PFDSM3638_00940	PF0199	phosphoribosylformylglycinamidine synthase
PFDSM3638_RS10555		NA	NA
PFDSM3638_RS00945	PFDSM3638_00945	PF0200	bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase
PFDSM3638_RS00950	PFDSM3638_00950	PF0201	aconitate hydratase AcnA
PFDSM3638_RS00955	PFDSM3638_00955	PF0202	isocitrate dehydrogenase (NADP(+))
PFDSM3638_RS00960	PFDSM3638_00960	PF0203	citrate synthase
PFDSM3638_RS00965	PFDSM3638_00965	PF0204	hypothetical protein
PFDSM3638_RS00970	PFDSM3638_00970	PF0205	FMN-binding glutamate synthase family protein
PFDSM3638_RS00975	PFDSM3638_00975	PF0206	hypothetical protein
PFDSM3638_RS00980	PFDSM3638_00980	PF0207	argininosuccinate synthase
PFDSM3638_RS00985	PFDSM3638_00985	PF0208	argininosuccinate lyase
PFDSM3638_RS00990	PFDSM3638_00990	PF0209	lysine biosynthesis protein LysX
PFDSM3638_RS00995	PFDSM3638_00995	PF0210	radical SAM protein
PFDSM3638_RS01000	PFDSM3638_01000	PF0211	DNA methylase
PFDSM3638_RS01005	PFDSM3638_01005	PF0212	DNA polymerase
PFDSM3638_RS01010	PFDSM3638_01010	PF0213	MBL fold metallo-hydrolase
PFDSM3638_RS01015	PFDSM3638_01015	PF0214	ATPase
PFDSM3638_RS01020	PFDSM3638_01020	PF0215	enolase
PFDSM3638_RS01025	PFDSM3638_01025	PF0216	septum formation protein Maf
PFDSM3638_RS01030	PFDSM3638_01030	NA	NA
PFDSM3638_RS01035	PFDSM3638_01035	PF0218	30S ribosomal protein S27e
PFDSM3638_RS01040	PFDSM3638_01040	PF0219	6-carboxytetrahydropterin synthase
PFDSM3638_RS01045	PFDSM3638_01045	PF0220	Fe-S cluster assembly protein HesB
PFDSM3638_RS01050	PFDSM3638_01050	PF0221	hypothetical protein
PFDSM3638_RS01055	PFDSM3638_01055	PF0222	TIGR02253 family HAD-type hydrolase
PFDSM3638_RS01060	PFDSM3638_01060	PF0222.1n	hypothetical protein
PFDSM3638_RS01065	PFDSM3638_01065	PF0223	DUF4392 domain-containing protein
PFDSM3638_RS01070	PFDSM3638_01070	PF0224	HD domain-containing protein
PFDSM3638_RS01075	PFDSM3638_01075	NA	NA
PFDSM3638_RS01095	PFDSM3638_01090	PF0230	transcriptional regulator
PFDSM3638_RS01100	PFDSM3638_01095	PF0231	hypothetical protein
PFDSM3638_RS01105	PFDSM3638_01100	PF0232	transcriptional regulator
PFDSM3638_RS01110	PFDSM3638_01105	PF0233	CoA-binding protein
PFDSM3638_RS01115	PFDSM3638_01110	PF0234	DUF835 domain-containing protein
PFDSM3638_RS01120	PFDSM3638_01115	PF0235	glucose-1-phosphate thymidylyltransferase
PFDSM3638_RS01125	PFDSM3638_01120	PF0236	ribose-phosphate diphosphokinase
PFDSM3638_RS01130	PFDSM3638_01125	PF0237	DUF1614 domain-containing protein
PFDSM3638_RS01135	PFDSM3638_01130	PF0238	ASCH domain-containing protein
PFDSM3638_RS01140	PFDSM3638_01135	PF0239	hypothetical protein
PFDSM3638_RS01145	PFDSM3638_01140	PF0240	hypothetical protein
PFDSM3638_RS01150	PFDSM3638_01145	PF0241	tryptophan--tRNA ligase
PFDSM3638_RS01160	PFDSM3638_01155	PF0243	AAA family ATPase
PFDSM3638_RS01165	PFDSM3638_01160	NA	NA
PFDSM3638_RS01170	PFDSM3638_01165	PF0246	hypothetical protein
PFDSM3638_RS01175	PFDSM3638_01170	PF0247	Lrp/AsnC family transcriptional regulator
PFDSM3638_RS01180	PFDSM3638_01175	PF0248	adenosine monophosphate-protein transferase
PFDSM3638_RS01185	PFDSM3638_01180	PF0249	non-canonical purine NTP pyrophosphatase
PFDSM3638_RS01190	PFDSM3638_01185	PF0250	transcriptional regulator
PFDSM3638_RS01195	PFDSM3638_01190	PF0251	class I SAM-dependent rRNA methyltransferase
PFDSM3638_RS01200	PFDSM3638_01195	PF0252	30S ribosomal protein S27ae
PFDSM3638_RS01205	PFDSM3638_01200	PF0253	30S ribosomal protein S24e
PFDSM3638_RS01210	PFDSM3638_01205	PF0254	hypothetical protein
PFDSM3638_RS01215	PFDSM3638_01210	PF0255	transcription elongation factor Spt4
PFDSM3638_RS01220	PFDSM3638_01215	PF0256	DNA-directed RNA polymerase
PFDSM3638_RS01225	PFDSM3638_01220	PF0257	inorganic pyrophosphatase
PFDSM3638_RS01230	PFDSM3638_01225	PF0258	hypothetical protein
PFDSM3638_RS01235	PFDSM3638_01230	PF0259	thiamine-binding protein
PFDSM3638_RS01240	PFDSM3638_01235	PF0260	DUF373 domain-containing protein
PFDSM3638_RS01245	PFDSM3638_01240	PF0261	hypothetical protein
PFDSM3638_RS01250	PFDSM3638_01245	PF0262	MFS transporter
PFDSM3638_RS01255	PFDSM3638_01250	PF0263	MarR family transcriptional regulator
PFDSM3638_RS01260	PFDSM3638_01255	PF0264	histidine--tRNA ligase
PFDSM3638_RS01265	PFDSM3638_01260	PF0265	8-amino-7-oxononanoate synthase
PFDSM3638_RS01270	PFDSM3638_01265	PF0266	tRNA-intron lyase
PFDSM3638_RS01275	PFDSM3638_01270	PF0267	ribosomal-protein-alanine N-acetyltransferase
PFDSM3638_RS01280	PFDSM3638_01275	PF0268	cation:proton antiporter
PFDSM3638_RS01285	PFDSM3638_01280	PF0269	hypothetical protein
PFDSM3638_RS01290	PFDSM3638_01285	PF0270	alanine--tRNA ligase
PFDSM3638_RS01295	PFDSM3638_01290	PF0271	hypothetical protein
PFDSM3638_RS01300	PFDSM3638_01295	PF0272	4-alpha-glucanotransferase
PFDSM3638_RS01305	PFDSM3638_01300	PF0273	alpha hydrolase
PFDSM3638_RS01310	PFDSM3638_01305	PF0275	cation:proton antiporter
PFDSM3638_RS01315	PFDSM3638_01310	PF0276	FAD-dependent oxidoreductase
PFDSM3638_RS01320	PFDSM3638_01315	PF0277	hypothetical protein
PFDSM3638_RS01325	PFDSM3638_01320	PF0278	ABC transporter permease
PFDSM3638_RS01330	PFDSM3638_01325	PF0279	ABC transporter ATP-binding protein
PFDSM3638_RS01335	PFDSM3638_01330	PF0280	hypothetical protein
PFDSM3638_RS01340	PFDSM3638_01335	PF0281	hypothetical protein
PFDSM3638_RS01345	PFDSM3638_01340	PF0282	YfcE family phosphodiesterase
PFDSM3638_RS01350	PFDSM3638_01345	PF0283	acylphosphatase
PFDSM3638_RS01355	PFDSM3638_01350	PF0284	regulator of amino acid metabolism, contains ACT domain protein
PFDSM3638_RS01360	PFDSM3638_01355	PF0285	IMP dehydrogenase
PFDSM3638_RS01365	PFDSM3638_01360	PF0286	DNA endonuclease
PFDSM3638_RS01375	PFDSM3638_01370	PF0287	pyrolysin
PFDSM3638_RS01380	PFDSM3638_01375	PF0288	DUF59 domain-containing protein
PFDSM3638_RS01385	PFDSM3638_01380	PF0289	phosphoenolpyruvate carboxykinase
PFDSM3638_RS01390	PFDSM3638_01385	PF0290	valine--tRNA ligase
PFDSM3638_RS01395	PFDSM3638_01390	PF0291	prephenate dehydratase
PFDSM3638_RS01400	PFDSM3638_01395	PF0292	deoxyhypusine synthase
PFDSM3638_RS01405	PFDSM3638_01400	PF0293	aminotransferase
PFDSM3638_RS01410	PFDSM3638_01405	PF0294	alpha-ribazole phosphatase CobZ
PFDSM3638_RS01415	PFDSM3638_01410	PF0295	ATP pyrophosphatase
PFDSM3638_RS01420	PFDSM3638_01415	PF0296	cobalamin biosynthesis protein
PFDSM3638_RS01425	PFDSM3638_01420	PF0297	ArsR family transcriptional regulator
PFDSM3638_RS01430	PFDSM3638_01425	PF0298	hypothetical protein
PFDSM3638_RS01435	PFDSM3638_01430	PF0298.1n	hypothetical protein
PFDSM3638_RS01440	PFDSM3638_01435	PF0299	adenosylcobinamide-GDP ribazoletransferase
PFDSM3638_RS01445	PFDSM3638_01440	PF0300	GTP--adenosylcobinamide-phosphate guanylyltransferase
PFDSM3638_RS01450	PFDSM3638_01445	PF0301	cobyric acid synthase CobQ
PFDSM3638_RS01455	PFDSM3638_01450	PF0302	radical SAM protein
PFDSM3638_RS01460	PFDSM3638_01455	PF0303	TIGR00303 family protein
PFDSM3638_RS01465	PFDSM3638_01460	PF0304	ATP-binding protein
PFDSM3638_RS01470	PFDSM3638_01465	PF0305	adenosylcobinamide amidohydrolase
PFDSM3638_RS01475	PFDSM3638_01470	PF0306	threonylcarbamoyl-AMP synthase
PFDSM3638_RS01480	PFDSM3638_01475	PF0307	glycosyltransferase family 4 protein
PFDSM3638_RS01485	PFDSM3638_01480	PF0308	adenylosuccinate synthetase
PFDSM3638_RS01495	PFDSM3638_01490	PF0309	ABC transporter permease
PFDSM3638_RS01500	PFDSM3638_01495	PF0310	ABC transporter ATP-binding protein
PFDSM3638_RS01505	PFDSM3638_01500	PF0311	hypothetical protein
PFDSM3638_RS01510	PFDSM3638_01505	PF0312	ADP-dependent glucokinase
PFDSM3638_RS01515	PFDSM3638_01510	NA	NA
PFDSM3638_RS01520	PFDSM3638_01515	PF0315	DUF531 domain-containing protein
PFDSM3638_RS01525	PFDSM3638_01520	PF0316	hypothetical protein
PFDSM3638_RS01530	PFDSM3638_01525	PF0317	EamA/RhaT family transporter
PFDSM3638_RS01535	PFDSM3638_01530	PF0318	S9 family peptidase
PFDSM3638_RS01545	PFDSM3638_01540	PF0319	D-glycerate dehydrogenase
PFDSM3638_RS01550	PFDSM3638_01545	PF0320	hypothetical protein
PFDSM3638_RS01555	PFDSM3638_01550	PF0321	inosine-5-monophosphate dehydrogenase
PFDSM3638_RS01560	PFDSM3638_01555	PF0322	nickel-responsive transcriptional regulator NikR
PFDSM3638_RS01575	PFDSM3638_01570	PF0323	hypothetical protein
PFDSM3638_RS01580	PFDSM3638_01575	PF0324	DUF1102 domain-containing protein
PFDSM3638_RS01585	PFDSM3638_01580	PF0325	DUF1102 domain-containing protein
PFDSM3638_RS01590	PFDSM3638_01585	PF0326	signal peptidase I
PFDSM3638_RS01595	PFDSM3638_01590	PF0327	hypothetical protein
PFDSM3638_RS01600	PFDSM3638_01595	PF0328	hypothetical protein
PFDSM3638_RS01605	PFDSM3638_01600	PF0329	hypothetical protein
PFDSM3638_RS01610	PFDSM3638_01605	PF0330	flagellar assembly protein FlaJ
PFDSM3638_RS01615	PFDSM3638_01610	PF0331	hypothetical protein
PFDSM3638_RS01620	PFDSM3638_01615	PF0332	flagellar accessory protein FlaH
PFDSM3638_RS01625	PFDSM3638_01620	PF0333	flagellar protein G
PFDSM3638_RS01630	PFDSM3638_01625	PF0334	flagella
PFDSM3638_RS01635	PFDSM3638_01630	PF0335	flagellar protein D
PFDSM3638_RS01640	PFDSM3638_01635	PF0336	flagellar protein FlaC
PFDSM3638_RS01645	PFDSM3638_01640	PF0337	flagellin
PFDSM3638_RS01650	PFDSM3638_01645	PF0338	flagellin
PFDSM3638_RS01655	PFDSM3638_01650	NA	NA
PFDSM3638_RS01660	PFDSM3638_01655	PF0339	methyltransferase
PFDSM3638_RS01665	PFDSM3638_01660	PF0340	transcriptional regulator
PFDSM3638_RS01670	PFDSM3638_01665	PF0341	hypothetical protein
PFDSM3638_RS01675	PFDSM3638_01670	PF0342	hypothetical protein
PFDSM3638_RS01680	PFDSM3638_01675	PF0343	adenosylhomocysteinase
PFDSM3638_RS01685	PFDSM3638_01680	PF0344	tungsten cofactor oxidoreductase radical SAM maturase
PFDSM3638_RS01690	PFDSM3638_01685	PF0345	MoaD/ThiS family protein
PFDSM3638_RS01695	PFDSM3638_01690	PF0346	aldehyde ferredoxin oxidoreductase
PFDSM3638_RS01700	PFDSM3638_01695	NA	NA
PFDSM3638_RS01715	PFDSM3638_01710	PF0348	IS6 family transposase ISPfu2
PFDSM3638_RS01720	PFDSM3638_01715	PF0388	hypothetical protein
PFDSM3638_RS01725	PFDSM3638_01720	PF0387	cupin domain-containing protein
PFDSM3638_RS01730	PFDSM3638_01725	PF0386	tRNA-binding protein
PFDSM3638_RS01735	PFDSM3638_01730	PF0385	hypothetical protein
PFDSM3638_RS01740	PFDSM3638_01735	PF0384	bifunctional oligoribonuclease/PAP phosphatase NrnA
PFDSM3638_RS01745	PFDSM3638_01740	PF0383	hypothetical protein
PFDSM3638_RS01750	PFDSM3638_01745	PF0382	prefoldin subunit beta
PFDSM3638_RS01755	PFDSM3638_01750	PF0381	hypothetical protein
PFDSM3638_RS01760	PFDSM3638_01755	PF0380	chromosome partitioning protein ParB
PFDSM3638_RS01765	PFDSM3638_01760	PF0379	50S ribosomal protein L39e
PFDSM3638_RS01770	PFDSM3638_01765	PF0378	50S ribosomal protein L31e
PFDSM3638_RS01775	PFDSM3638_01770	PF0377	translation initiation factor IF-6
PFDSM3638_RS01780	PFDSM3638_01775	PF0376	50S ribosomal protein L18a
PFDSM3638_RS01785	PFDSM3638_01780	PF0375	prefoldin subunit alpha
